City_Id,City,Country,Max Temp,Lat,Lng,Hotel Name
581,Mareeba,AU,88.45,-17.0,145.4333,The Gateway Hotel
587,Bandarbeyla,SO,76.48,9.4942,50.8122,No hotel found
590,Saint-Joseph,RE,80.98,-21.3667,55.6167,No hotel found
593,Grand-Santi,GF,71.58,4.25,-54.3833,No hotel found
595,Les Trois-Bassins,RE,73.33,-21.1,55.3,No hotel found
597,Phangnga,TH,80.64,8.4509,98.5298,Hotel
600,Vao,NC,78.49,-22.6667,167.4833,Nataiwatch
601,Daru,PG,85.98,-9.0763,143.2092,Kuki
603,Adiake,CI,76.39,5.2863,-3.304,No hotel found
605,Asifabad,IN,76.14,19.3667,79.2833,bhagyalaxmi hotel
607,San Andres,CO,82.42,12.5847,-81.7006,Hotel Decameron Isleño
608,Bongandanga,CD,70.74,1.5,21.05,No hotel found
619,Balabac,PH,84.09,7.9868,117.0645,No hotel found
621,Santa Cruz,BO,72.66,-17.8,-63.1667,Aviador Hotel Boutique
625,Tautira,PF,79.59,-17.7333,-149.15,No hotel found
626,Oriximina,BR,76.51,-1.7656,-55.8661,No hotel found
627,Hobyo,SO,79.0,5.3505,48.5268,No hotel found
628,Ambalavao,MG,72.46,-21.8333,46.9333,RAVORAVO HOTEL
629,Inhambane,MZ,79.09,-23.865,35.3833,Hotel de Inhambane
634,Umm Lajj,SA,77.16,25.0213,37.2685,No hotel found
638,Qeshm,IR,71.49,26.9581,56.2719,هتل آپادانا
642,Kisangani,CD,71.29,0.5167,25.2,Le Chalet
644,Mandera,KE,80.17,3.9366,41.867,Kornesh Hotel and Lodging
646,Marawi,PH,75.97,7.9986,124.2928,Marawi Resort Hotel
647,Mae Hong Son,TH,83.08,19.3003,97.9685,Lakeside Garden Guesthouse
653,Yopal,CO,70.93,5.3378,-72.3959,Hotel Sophia Real
655,Sabang,ID,77.7,5.8933,95.3214,Sabang Hill
656,Aquin,HT,73.45,18.2833,-73.4,Hotel Aldy
658,Bacolod,PH,83.28,10.6667,122.95,Northwest Inn
